SiteID;Longitude;Latitude
100002;526033;4744212
100003;527121;4738549
100004;504504;4745739
100005;525063;4744830
100006;496901;4758827
100007;508942;4757243
100008;549884;4744401
100009;526704;4743704
100010;518537;4737983
100012;551387;4727587
100013;527354;4750392
100014;506809;4736434
100015;500097;4766892
100016;505722;4766016
100017;514046;4736651
100018;527039;4745061
100019;543349;4746142
100020;517336;4755058
100021;511253;4728087
100022;508999;4744626
100023;555384;4747741
100024;508474;4752060
100025;515021;4756278
100026;522215;4743488
100027;524011;4745442
100028;528429;4746762
100029;526382;4743460
100030;526454;4743791
100031;500194;4770652
100032;527133;4743611
100033;527658;4743004
100035;536359;4747623
100037;527116;4744070
100038;530880;4755650
100039;526200;4758152
100040;533659;4756682
100042;547637;4744930
100043;499423;4766070
100045;508394;4755792
100046;516985;4714824
100047;540211;4737648
100048;540873;4722452
100049;545973;4731467
100050;526746;4742980
100052;531347;4747188
100053;507293;4729117
100054;492369;4746663
100055;496194;4769452
100056;534068;4711442
100057;534681;4764605
100058;487317;4775228
100059;529109;4759017
100060;546494;4712974
100061;539869;4742692
100062;497218;4733117
100063;556881;4736179
100064;526706;4743850
100065;542719;4750642
100066;509568;4724142
100067;497324;4778474
100070;531763;4706951
100071;526269;4746342
100072;528129;4744003
100074;526757;4744109
100075;504294;4761192
100076;527209;4746307
100078;527519;4745217
100079;524534;4742905
100080;520710;4731766
100083;514990;4740193
100084;512669;4720569
100085;497469;4749792
100086;482521;4747360
100088;526805;4744234
100089;507451;4739728
100090;542365;4704781
100091;545618;4706052
100092;548750;4707950
100094;529291;4746169
100097;492736;4771707
100098;524347;4744945
100099;526560;4709219
100102;526731;4743752
100104;534089;4711275
100110;501430;4738838
100113;539394;4712696
100114;526267;4745086
100118;526457;4744647
100120;528887;4746909
100133;528184;4742949
100135;528330;4741821
100136;528256;4745806
100137;518015;4740615
100139;526294;4743208
100140;523117;4745026
100141;525116;4745470
100144;523494;4750542
100146;526153;4743511
100147;526164;4744992
100150;527252;4744181
100151;527098;4744029
100154;526624;4743812
100155;526684;4744509
100167;525374;4746328
100168;526966;4745586
100169;521121;4743987
100171;526135;4744477
100176;525992;4743997
100177;526861;4743347
100178;521816;4747978
100179;525756;4744307
100182;521889;4742388
100183;527802;4745264
100184;526810;4743508
100191;526203;4744461
100194;529209;4754727
100197;520739;4742730
100202;548865;4727801
100204;535686;4720369
100207;499297;4780531
100210;552325;4732908
100211;527831;4746731
100212;534429;4710836
100220;533570;4713004
100236;512629;4724379
100237;526710;4743620
100240;528663;4746507
100248;526554;4744422
100249;525168;4742778
100251;527608;4743998
100253;526977;4744412
100255;528590;4744229
100257;527194;4751076
100258;527494;4745380
100259;528410;4744689
100261;527707;4744282
100263;528522;4743874
100264;524445;4743535
100265;524034;4742587
100266;524330;4745989
100267;524709;4746183
100274;539862;4716506
100278;527396;4710147
100279;543104;4713778
100280;524556;4742271
100281;527683;4743801
100293;521006;4741917
100294;525795;4743488
100297;527685;4745910
100305;525350;4743687
100306;542529;4742591
100311;492052;4743424
100313;531402;4706659
100317;500304;4764772
100318;526288;4747376
100319;525281;4744328
100324;498845;4760285
100325;524393;4744445
100330;524866;4742439
100341;525031;4745272
100346;521243;4754144
100350;524875;4746037
100351;529315;4745808
100353;526983;4742475
100361;525351;4745805
100377;525524;4745182
100378;525984;4743497
100383;529653;4713797
100384;527149;4743867
100391;523604;4742836
100414;527095;4744184
100415;521435;4747345
100420;526255;4744456
100423;526534;4743673
100426;528315;4745135
100431;534035;4712122
100465;537821;4734933
100471;500444;4768820
100479;523680;4744818
100480;527838;4742509
100488;526606;4744787
100489;519520;4743689
100492;531195;4745683
100493;530643;4744537
100497;525398;4742747
100498;507727;4726857
100507;524750;4723259
100508;489517;4767599
100511;523271;4751611
100522;546602;4738431
100524;515022;4755975
200000;596037;4319271
200001;661515;4302917
200002;599223;4317154
200003;622312;4315406
200004;598599;4316540
200005;544537;4280433
200006;533966;4346118
200007;613265;4262882
200009;613710;4293739
200010;611536;4270373
200011;572490;4340092
200012;512570;4372486
200013;556946;4307131
200014;533753;4265676
200015;539365;4271834
200017;584546;4248314
200018;546408;4258619
200019;650000;4313619
200020;594312;4274421
200021;552175;4236822
200022;598759;4317898
200023;559004;4224432
200024;520455;4311447
200025;559612;4254401
200026;643006;4302150
200027;559240;4346867
200029;528462;4366596
200030;623830;4255427
200031;675364;4296542
200032;616008;4281432
200036;559829;4247243
200037;572595;4305415
200038;617921;4344002
200040;537263;4274597
200041;609524;4308682
200042;586815;4329267
200043;644323;4303998
200046;593540;4346740
200047;627515;4270203
200048;599836;4314124
200050;665088;4303928
200051;611191;4308612
200052;672122;4301152
200053;678630;4288296
200054;631932;4306664
200055;622845;4308959
200056;536188;4359497
200057;581257;4350088
200059;629257;4246922
200060;614038;4272025
200061;573114;4340612
200062;597383;4319364
200063;591258;4355233
200064;537531;4271335
200065;546169;4286729
200066;547348;4290025
200069;622516;4346161
200070;631687;4349992
200071;643875;4353067
200072;585990;4287092
200074;556375;4319931
200075;544707;4320383
200077;656090;4304712
200078;568924;4269884
200080;517720;4335469
200081;525563;4339410
200082;536115;4321542
200083;529036;4317376
200084;579272;4246210
200085;581064;4266153
200086;582859;4256093
200087;620959;4358192
200089;630934;4275922
200090;635356;4283921
200091;645634;4294680
200092;588144;4243175
200093;640682;4328402
200094;570699;4297132
200096;591104;4266843
200097;565843;4257551
200098;592346;4323936
200099;593045;4315480
200100;559104;4296456
200101;562159;4297184
200102;590489;4338871
200104;588645;4278792
200105;638971;4349247
200106;602800;4344469
200107;613805;4333042
200108;599698;4316298
200109;590339;4366631
200112;625639;4312849
200114;521909;4371040
200116;635965;4338692
200119;556387;4312204
200120;534974;4283078
200121;599037;4316709
200123;598965;4316892
200124;592790;4307715
200125;634707;4313443
200126;624720;4328516
200127;625185;4298158
200129;643867;4347209
200130;614645;4350950
200132;604348;4269509
200133;562985;4332188
200136;598859;4315629
200137;599713;4317281
200138;598539;4317502
200140;546933;4337797
200141;583078;4331949
200143;605244;4306054
200144;618928;4260783
200148;647214;4329496
200150;552645;4292584
200151;568481;4299221
200154;609511;4295392
200155;578500;4295400
200156;628178;4336794
200157;559336;4272404
200158;547436;4298709
200159;537209;4291348
200160;539090;4260291
200161;629001;4326780
200162;610959;4348577
200164;619952;4356783
200165;630605;4336993
200166;580342;4344569
200167;608313;4336043
200171;526219;4348749
200199;598100;4315582
200200;525033;4302854
200201;584142;4256157
200202;586374;4245022
200206;599263;4316779
200209;561520;4222275
200212;599323;4316493
200217;665525;4303695
200219;556803;4245958
200220;626815;4341104
200221;535207;4347321
200223;613098;4265487
200224;665285;4303592
200225;539557;4311907
200226;609531;4340400
200232;598988;4317253
200235;598886;4316934
200237;587193;4305929
200238;599650;4315652
200251;553265;4295719
200255;561967;4238984
200256;601939;4334846
200263;599800;4315859
200264;618799;4253921
200265;599259;4316530
200266;598174;4316448
200267;563540;4305074
200269;565748;4291360
200270;570412;4241844
200271;551258;4281154
200273;609856;4258227
200281;623800;4275431
200293;620091;4335589
200294;638490;4293893
200295;624099;4335883
200302;556766;4259941
200304;645937;4355170
200305;566069;4263408
200316;572462;4280268
200319;540770;4283336
200324;579065;4291115
200332;551131;4259522
200335;586197;4252321
200336;584819;4294816
200354;544551;4278213
200362;599269;4315920
200363;513486;4309965
200366;565232;4308411
200371;598699;4316075
200374;597573;4317173
200375;556702;4246047
200376;604268;4318197
200379;633295;4300055
200380;597114;4316337
200381;598104;4315944
